Control	Tratamiento	Grupo
-2,654843167	3,274012753	A1
2,905336121	1,744285754	A1
2,299072896	1,279226169	A1
1,378744055	2,251272631	A1
-0,817025582	3,0374048	A1
1,540336515	4,912486708	A1
-0,389004907	5,216054278	A1
0,339445061	5,222300439	A1
1,814153218	5,615834491	A1
-2,405886564	1,272416575	A1
1,592424255	2,888324179	A1
-0,952745115	8,079437055	A1
3,935463065	8,66443353	A1
-0,246837643	3,318574896	A1
-2,064743486	7,161442751	A1
-1,126096249	3,45238783	A1
-0,970804433	5,108841616	A1
2,524458524	2,003453333	A1
-0,489578053	2,697526459	A1
2,733868045	4,444406317	A1
0,74905989	7,424436473	A1
0,655343338	3,641997829	A1
4,223884136	5,950574686	A1
-0,021182963	2,125578661	A1
-1,771552611	2,936905681	A1
-1,495189816	4,362393695	A1
3,388455022	4,304711665	A1
-4,527464643	6,476470155	A1
-1,254246083	6,719536125	A1
1,171229388	2,426794347	A1
0,275595907	5,897175484	A1
0,962050055	2,286986225	A1
-1,857368134	2,265505357	A1
0,267966662	7,85915283	A1
4,839263701	3,561528707	A1
1,174219986	6,52629875	A1
-0,083500058	2,324817382	A1
1,961656286	3,473173359	A1
-0,664256017	4,846918095	A1
-1,384410351	6,459485931	A1
-3,91119087	4,493571571	A1
-0,129884857	6,216654229	A1
0,021557404	3,417827801	A1
3,917747002	3,559642409	A1
-0,233195883	5,584667149	A1
-0,563987386	2,789881838	A1
0,685559936	4,114866063	A1
0,637689486	4,441156456	A1
4,323108933	6,235536737	A1
2,279487129	8,094178955	A1
-1,764840025	6,374833281	A1
-0,042791592	5,418717019	A1
1,463381599	6,433316426	A1
-1,866417343	2,459880705	A1
-1,254786971	5,624508959	A1
0,561677852	8,580547178	A1
2,100404346	4,981396123	A1
1,03574285	7,13732882	A1
0,953395384	7,017070871	A1
-0,032402625	4,109829462	A1
1,323568913	5,139791584	A1
-1,985058452	3,527814469	A1
-1,387989143	6,759374631	A1
1,99625712	-0,189267937	A1
1,49055941	4,223710842	A1
1,4429963	5,360515627	A1
-2,4742185	4,423014234	A1
-2,099138298	6,272562752	A1
-3,13126478	3,605628381	A1
2,458317688	5,09601361	A1
0,082856345	3,791092301	A1
-0,381588542	5,097694313	A1
-0,656983897	2,436413862	A1
-0,942655584	2,788191336	A1
0,408045419	10,93985425	A1
3,03793429	1,912671107	A1
-1,032872705	2,869820344	A1
3,06792762	3,31005399	A1
0,20957137	9,307867343	A1
-0,079718106	3,601468854	A1
4,932962914	4,874869126	A1
-1,189750115	4,927347657	A1
-1,728545618	3,905707567	A1
-2,14340478	6,427710342	A1
-0,491142324	5,659737759	A1
2,811303548	4,828504117	A1
0,546343663	4,156927061	A1
3,469700753	8,478483214	A1
1,747152488	5,829742102	A1
2,473213174	3,321778972	A1
-3,374330605	8,510719362	A1
2,048182716	5,458902638	A1
-1,052624701	4,212440039	A1
-1,299496924	5,226858745	A1
-1,630531907	2,176991343	A1
0,947429874	1,309522212	A1
-0,417976752	6,078911536	A1
-4,500064486	4,938283464	A1
0,210563921	2,778020891	A1
2,816394498	5,01456002	A1
0,517262898	4,838961771	A10
-0,474017295	3,383254954	A10
0,871251028	5,57015198	A10
1,03954924	2,990880407	A10
0,563030695	2,819784647	A10
0,091709583	5,221053587	A10
0,188413156	4,081958115	A10
3,566491085	0,931619234	A10
0,076168044	5,796672628	A10
2,010600349	4,406661981	A10
-0,987311595	3,085031226	A10
-1,652226884	4,522949617	A10
2,802892148	5,36354299	A10
-0,655853633	4,521907849	A10
0,307315562	7,138917888	A10
-0,306705477	5,002989119	A10
1,870806874	1,216529939	A10
-0,247592294	7,425617639	A10
0,411661483	3,044554382	A10
3,27834233	5,792013334	A10
1,560747301	4,043515713	A10
-0,311361774	5,291635617	A10
-0,400880635	4,930864635	A10
0,985183869	4,35223072	A10
0,305701286	8,590153963	A10
0,715950216	6,824477539	A10
0,295400865	4,909097712	A10
-0,36050653	7,858532828	A10
0,694974082	1,881390115	A10
-2,997430036	4,00891213	A10
-2,872569748	5,906650055	A10
2,611705456	0,715310463	A10
0,214618189	3,932017316	A10
2,469090699	3,268391119	A10
0,526943084	8,824450164	A10
3,532441193	7,453296168	A10
3,245252629	4,914257978	A10
0,30385775	6,774494533	A10
3,09022951	6,501815779	A10
-2,00613184	3,116237652	A10
-0,410694977	6,34591998	A10
1,53649316	0,238828841	A10
-2,086239497	6,729144912	A10
1,14302975	4,757881483	A10
2,078598087	3,147742748	A10
-1,675570984	4,330669467	A10
3,803230669	7,301567235	A10
0,708468672	5,418356751	A10
-0,596586615	5,0044566	A10
-0,60128472	5,587975455	A10
0,436409957	2,29621751	A10
-1,072834469	7,271260418	A10
-4,623891899	4,78652768	A10
1,448212188	6,214248597	A10
0,145727713	2,547071117	A10
-3,177770888	2,633193734	A10
1,870742588	5,71499144	A10
-0,411773064	1,443439979	A10
-3,536838585	5,536405568	A10
0,707181866	9,39936699	A10
2,647935252	4,225724949	A10
1,227943031	8,893339344	A10
-1,277823414	4,670553519	A10
1,299448574	6,94046499	A10
1,630714786	7,653325609	A10
1,931943756	4,525399768	A10
0,738701757	3,569175471	A10
1,192927866	5,788257721	A10
6,085006271	3,1481977	A10
0,522621785	5,755110653	A10
-2,661471558	3,083765992	A10
-2,103491123	4,918570532	A10
-1,290961206	6,879100208	A10
-0,217550082	8,487827292	A10
0,029803357	2,584239055	A10
3,31241907	6,004179625	A10
2,6020098	5,155292425	A10
-0,433622634	7,207283335	A10
3,989250254	2,822833717	A10
2,324866329	6,699794545	A10
0,956425042	8,567035388	A10
-1,00034213	3,570771457	A10
-2,519308425	4,329966332	A10
0,443768972	6,916779444	A10
0,987876532	1,822794421	A10
-0,131468291	3,019332779	A10
-2,582117666	7,355725357	A10
0,266310866	7,371984602	A10
2,254313985	4,95299407	A10
2,247314831	4,301828382	A10
1,374360553	7,766892262	A10
-2,409087414	7,518754694	A10
2,445921145	4,094844133	A10
1,160886001	6,167087585	A10
-1,445263293	6,632092969	A10
-0,288572432	5,436791674	A10
-0,757302906	6,911626987	A10
-1,121492345	3,433814626	A10
5,3078718	6,824132995	A10
-0,765165802	7,05594186	A10
-2,263934859	9,311480543	A100
-1,010290536	7,816639023	A100
2,895179407	4,733493178	A100
2,820242024	6,283330175	A100
2,862069131	4,853614785	A100
-0,262934399	9,039913822	A100
3,706118743	5,105435554	A100
-0,894245937	5,885774075	A100
-2,254324796	1,047056839	A100
-0,920600737	8,415799576	A100
-1,889558873	4,545378084	A100
0,15564859	3,605653115	A100
2,04571785	3,956098102	A100
0,141734495	5,302650743	A100
1,567488883	7,108519874	A100
3,178505266	5,600601523	A100
0,845454443	5,708746859	A100
0,562642405	5,631906757	A100
-0,239348455	3,017896001	A100
2,169888354	8,169841637	A100
1,701405019	1,177122275	A100
0,564162736	5,331991408	A100
0,260316409	4,612780086	A100
4,044976384	3,39749518	A100
-3,144775842	0,558345382	A100
-0,014043946	8,30711637	A100
3,471917121	3,999784899	A100
1,999842862	3,131917222	A100
-1,364910382	8,861208234	A100
-0,804786855	4,942117841	A100
-0,001915917	5,885224279	A100
0,043881794	6,030944595	A100
-0,127314427	2,93217595	A100
0,040923236	3,393897734	A100
-0,298346464	6,827339426	A100
0,536768181	2,885516838	A100
1,002876492	6,215423711	A100
-0,22654258	1,56005315	A100
-1,021214697	2,920900098	A100
-1,105247979	4,460365946	A100
2,441405608	2,942561831	A100
0,654011868	4,404154864	A100
-3,062754547	6,05669161	A100
-1,28501428	6,796699574	A100
-2,75378577	5,020145815	A100
0,721314143	2,739030078	A100
0,878463357	3,849121729	A100
1,296076508	7,966881754	A100
-2,890202313	1,655806664	A100
-0,867263668	9,674719868	A100
1,103315582	3,771542295	A100
-0,360896991	3,638225223	A100
1,709896457	2,995853914	A100
3,845304023	4,252549806	A100
-1,877026489	7,47537066	A100
-0,538062716	10,03721789	A100
1,710052796	4,507041651	A100
0,213850827	3,595920935	A100
0,512140153	4,006346677	A100
-3,180583173	5,546371551	A100
2,41202989	6,324651287	A100
-4,815344615	8,285730839	A100
-1,765442796	4,482370082	A100
0,108468812	7,955730102	A100
3,030592277	6,035577809	A100
1,122095085	3,704900404	A100
-1,1594312	4,437035193	A100
4,176535373	5,928104747	A100
1,547338041	6,962166894	A100
2,809879391	1,501057029	A100
-1,269321057	7,143629518	A100
-0,05745534	3,537887496	A100
-2,48406027	5,397799413	A100
0,912399049	4,790982017	A100
0,831637492	2,867404797	A100
1,972551293	0,3821439	A100
-3,773295219	5,261450653	A100
1,898290506	2,808481531	A100
3,412427401	7,997628505	A100
-0,263471109	9,579085393	A100
-2,873680883	7,212823362	A100
-0,914953221	1,126092468	A100
-1,230220213	7,867482233	A100
-4,70641362	2,319830799	A100
-1,297303224	4,368630121	A100
-2,249206061	5,535414566	A100
-1,95996617	5,11554156	A100
2,669033219	6,473022135	A100
-3,560559221	7,338915721	A100
0,394251691	3,110664622	A100
-2,543084229	2,107446156	A100
-0,130913931	5,719481567	A100
-0,991944712	6,939248889	A100
-2,455571322	7,383909386	A100
1,416679486	3,15092352	A100
1,176861066	9,262660359	A100
-1,681424188	9,387539893	A100
-0,355072043	5,389707844	A100
-0,419990293	4,462293773	A100
-0,825864615	4,858106944	A100
0,262483683	6,30006056	A11
3,521636694	5,821929922	A11
1,024045175	5,205404022	A11
2,179348737	4,967372353	A11
2,178610772	4,199789071	A11
2,117672722	2,730176011	A11
-1,466109892	0,606406635	A11
-2,776035949	7,91175018	A11
1,046101005	3,369039565	A11
-1,102828172	4,402119164	A11
-1,262364185	5,859379936	A11
0,773104758	3,512331242	A11
-2,845546275	3,669075704	A11
2,026639908	6,08614659	A11
-1,566156129	6,994266568	A11
-3,448765239	5,094343772	A11
1,925599402	6,210508718	A11
3,391496266	1,540255556	A11
-0,575034107	9,096596996	A11
0,995486669	8,322592005	A11
-2,011018321	4,518317495	A11
1,158143778	6,147212115	A11
0,412226219	5,160280696	A11
-2,841183784	3,430026402	A11
0,767683292	6,163832434	A11
-0,788344902	6,356310474	A11
1,451820559	2,962518389	A11
-1,698595797	6,716540155	A11
-0,443938311	3,962065161	A11
0,155069946	1,174057571	A11
-1,791532091	4,239486653	A11
1,859317945	3,79279016	A11
-0,29925193	2,311019009	A11
3,726401926	7,59039379	A11
-0,124087961	1,146725817	A11
-2,78664789	6,014774411	A11
-1,750381093	5,54661491	A11
0,056573633	7,420440914	A11
-1,382707119	5,610676835	A11
-0,79845669	3,856414109	A11
3,040291847	3,293627948	A11
1,161694877	5,232424189	A11
1,366714373	4,72728315	A11
-1,25525864	5,293269846	A11
-1,719782228	4,580638433	A11
0,918367012	2,833943977	A11
-0,661751436	4,546685648	A11
-0,739073193	6,863941037	A11
0,167066956	4,433024334	A11
-1,842264775	7,845649138	A11
-4,068510756	5,157979742	A11
1,481006618	5,432001827	A11
-1,232505753	1,855417315	A11
-0,908058655	4,620356205	A11
-2,273876983	3,880218541	A11
-1,010541576	5,91709119	A11
5,491056096	4,816128777	A11
-0,373344501	3,968701174	A11
-0,737121775	1,497688619	A11
-2,526975362	4,541927754	A11
1,207906784	1,974758045	A11
-4,229866118	6,212243976	A11
-0,959297836	4,266519391	A11
0,972025502	5,298862952	A11
-3,327817967	5,703793192	A11
1,62089825	2,521339833	A11
-1,107612124	7,636576522	A11
1,577774605	3,111948948	A11
-1,302676888	7,228448876	A11
2,533035415	4,966286927	A11
0,763299851	6,207453343	A11
-0,778549857	3,92348401	A11
-1,963802052	5,127662886	A11
-3,073856231	2,454229173	A11
-0,061102503	7,050367611	A11
0,984364135	6,904673271	A11
-0,058555366	2,606781833	A11
4,671014808	1,912720165	A11
-3,821074518	3,369589112	A11
-2,316103224	3,685221618	A11
-2,251152825	1,373295546	A11
-2,883876544	5,608179205	A11
-0,321161565	5,941912319	A11
0,670960741	5,399687489	A11
2,028354061	3,812795342	A11
1,151689662	6,107059258	A11
1,241635585	7,80890089	A11
-5,222725725	6,497879195	A11
-0,942698918	4,235842185	A11
-0,23767486	7,686415597	A11
2,897712373	1,313562291	A11
1,146995047	6,393964768	A11
0,280151176	4,86375994	A11
0,327034185	5,701491836	A11
-1,516395212	2,105220654	A11
-2,725679581	6,424542086	A11
0,921632959	3,802216137	A11
-0,947021209	5,662437891	A11
0,259703615	3,00780301	A11
-2,269666661	2,26672086	A11
0,75233555	2,652810766	A12
-0,608972116	4,690491213	A12
2,139457651	4,930432127	A12
3,73593172	5,802475071	A12
0,126992755	1,087402576	A12
-2,556397697	6,037087354	A12
-0,513703107	6,113351771	A12
3,23728475	4,356826164	A12
2,457318393	2,678382882	A12
0,233903155	2,925395572	A12
1,232789346	7,351703598	A12
0,759925933	5,025065474	A12
-1,510991638	0,98756229	A12
-2,202180973	4,048751451	A12
0,807588883	5,198598195	A12
-1,000801914	11,36566733	A12
-3,860410811	0,740181717	A12
-1,580766606	10,1597937	A12
1,275309387	5,632335075	A12
3,272756623	5,435365097	A12
-1,528530915	2,70427523	A12
-0,665595946	3,283812988	A12
1,94133827	2,86785409	A12
2,972111328	5,44917475	A12
0,517206214	5,012845323	A12
-4,2658336	6,094921624	A12
-1,075151113	4,542815164	A12
0,266877081	2,846378377	A12
2,487156372	5,677741824	A12
-1,667440557	4,214068507	A12
3,13424351	4,062505935	A12
-1,465784863	4,82026327	A12
-3,365474626	3,883792917	A12
1,27580496	3,539580657	A12
-0,00511942	7,408236391	A12
-4,034854071	4,535139164	A12
1,625585363	6,972524611	A12
3,260510848	2,034713586	A12
-0,093299026	4,464092256	A12
-2,800470622	4,489952874	A12
-2,951159501	7,388472929	A12
3,555216378	5,844651061	A12
0,450908687	3,87604016	A12
-2,40496274	4,810669281	A12
3,113036052	5,224636864	A12
-2,742583196	5,175377507	A12
2,867601307	2,949292182	A12
-2,516103928	3,792485007	A12
3,424756814	5,660302915	A12
-7,522209241	6,054319113	A12
1,862304259	2,688107205	A12
0,535637179	2,792172649	A12
-3,890264658	5,323333756	A12
1,17434056	3,934516764	A12
0,500424242	4,579047428	A12
-1,093785903	7,422261018	A12
-4,053793969	6,144863097	A12
4,154066956	3,814539644	A12
-0,825649853	5,121138422	A12
-2,306908982	4,626091195	A12
-3,100491968	3,739760272	A12
-0,724949054	1,372489942	A12
0,073884378	5,792634088	A12
0,186709251	3,142756133	A12
-3,296753491	6,467502731	A12
-0,023714486	3,032315378	A12
0,442894936	4,393526131	A12
-1,177262511	5,299970713	A12
1,11960528	3,494308154	A12
2,716386472	5,085566805	A12
-1,499598281	3,882947355	A12
-2,286844031	9,108371316	A12
-0,507338786	4,828695713	A12
3,093536798	4,09834896	A12
0,598018506	0,476754717	A12
-1,25604117	4,269965588	A12
3,438526839	5,926447178	A12
1,765425014	3,508124013	A12
1,670691053	3,075328895	A12
-2,194840449	3,695378365	A12
-0,386499128	3,337735621	A12
-1,378332942	3,259951368	A12
-1,88983244	3,554721379	A12
-2,829025989	4,584799876	A12
1,971153029	4,97006403	A12
4,568523312	6,001253385	A12
0,146818177	7,412518911	A12
1,8933026	4,960086133	A12
0,648150152	3,893743386	A12
-1,551400847	2,622800243	A12
-1,869484653	6,307799544	A12
1,937588837	4,243700407	A12
-0,915529191	4,906891398	A12
-0,87594141	5,011781606	A12
-2,036334814	7,409797389	A12
-4,73378613	5,45276323	A12
1,197824186	5,423202667	A12
4,283380304	6,90458036	A12
1,652290481	9,716087912	A12
-0,442894602	4,334303018	A12
1,485270576	9,119327906	A13
-0,082725856	6,446230258	A13
-1,101334315	5,924810449	A13
-0,792793069	3,547348087	A13
-1,573451977	3,002002092	A13
0,351715519	8,014275714	A13
-1,298786731	5,136721696	A13
-1,989974561	2,942119053	A13
0,841656328	1,205458071	A13
-2,186566786	5,348530295	A13
-3,486220749	3,739409738	A13
0,261749136	5,465076425	A13
-0,70585421	3,232256541	A13
-0,522881185	4,539659755	A13
5,737082388	8,370749228	A13
-0,496631258	2,555801961	A13
2,759819553	2,034692764	A13
0,362749085	6,59214862	A13
0,492107758	3,26255742	A13
-4,98280932	4,747318297	A13
4,549806005	6,662937801	A13
1,665780833	5,076171408	A13
2,303019347	8,03836521	A13
-0,423363786	6,768412271	A13
0,395121262	6,047243951	A13
1,823380901	3,557262475	A13
1,684354209	6,221664878	A13
1,074191248	5,578026491	A13
-0,087962365	3,157025474	A13
2,59187941	7,292336254	A13
-0,456682736	6,283306211	A13
1,146138224	6,382268252	A13
-1,660143586	5,186098061	A13
-0,043925011	5,585182042	A13
5,469922761	6,014093571	A13
-3,09417756	3,973314522	A13
2,477077413	2,614942611	A13
3,0528221	5,895467849	A13
-0,23455147	4,814398548	A13
0,834050606	4,126726242	A13
-2,550576974	6,581930733	A13
-1,572642735	6,270175671	A13
-2,371266396	4,058266676	A13
-0,767195509	3,765846621	A13
-1,166393821	7,242857167	A13
-0,522743378	0,987284978	A13
3,474833769	7,48242584	A13
2,41989793	3,737604644	A13
-3,619938571	4,952692333	A13
2,296348164	3,186668033	A13
0,692317376	3,523762425	A13
-0,644947939	9,258134523	A13
-1,204987751	8,565858036	A13
1,391140705	7,290895115	A13
0,982152539	3,588891361	A13
1,407667134	5,956532301	A13
-3,691092711	5,873584254	A13
-5,061798739	4,78830683	A13
0,799952956	5,447789231	A13
0,43849124	5,044242117	A13
1,763024845	2,261181962	A13
0,732308219	5,474291263	A13
0,063180275	3,412437472	A13
0,478751183	6,868313574	A13
-0,145970486	4,940292656	A13
4,792016363	6,186233492	A13
-1,043402688	7,630338	A13
-0,057207198	4,520919923	A13
3,236863872	5,363740502	A13
0,663005941	8,506047007	A13
1,445882135	6,150443763	A13
1,025499498	6,816355101	A13
-1,164865048	2,40864214	A13
1,414449703	3,493310994	A13
1,403529452	7,60062134	A13
-0,56794218	5,955916469	A13
-2,788810778	1,289199864	A13
-1,146462166	2,480713112	A13
-1,390463761	8,944195372	A13
-0,055366464	2,413023134	A13
1,880909461	7,216480565	A13
0,506619697	3,436714462	A13
2,447734992	7,514046037	A13
1,547973322	3,812396936	A13
-1,273175835	7,517358903	A13
0,742552202	5,447664791	A13
-1,132067007	5,173904468	A13
-1,764780386	5,369868828	A13
-0,082183071	7,694908116	A13
1,5306785	5,573639578	A13
3,088254493	3,1014222	A13
1,120938117	5,340033634	A13
-2,924335825	8,075852773	A13
2,843804252	1,319615582	A13
-1,042982393	3,570893422	A13
0,055617946	4,24052848	A13
-1,076973499	4,746583454	A13
1,238643673	7,478025009	A13
2,14034843	1,568447098	A13
1,197881846	4,454625409	A13
0,997434522	6,933221979	A14
0,942747337	6,972976988	A14
1,210453505	6,288263536	A14
-5,890070035	6,894997668	A14
-3,379265723	7,127069476	A14
-1,503859847	8,487480905	A14
-3,884006857	6,270126442	A14
-0,100280873	3,52077573	A14
-0,958977588	2,351531645	A14
2,308916262	5,531889876	A14
